waiting_time,battery_capacity_kWh,initial_soc,charging_power_kW,queue_length,electricity_price,renewable_energy_ratio,charging_demand,month,day,hour,minute,is_weekend,waiting_per_queue,load_per_queue,price_per_kWh,charging_efficiency,station_id_ST002,station_id_ST003,station_id_ST004,station_id_ST005,station_id_ST006,station_id_ST007,station_id_ST008,station_id_ST009,station_id_ST010,station_id_ST011,station_id_ST012,station_id_ST013,station_id_ST014,station_id_ST015,station_id_ST016,station_id_ST017,station_id_ST018,station_id_ST019,station_id_ST020,location_type_Urban,vehicle_type_Car,vehicle_type_Two-Wheeler,traffic_density_Low,traffic_density_Medium,weather_condition_Cloudy,weather_condition_Rainy,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,time_slot_Peak,charging_priority_Low,charging_priority_Medium,power_to_wait_ratio
6,100,36.992054565083656,7,2,13.08,0.2900211269531271,34.30855894872864,1,1,2,30,0,2.0,10.197984348950486,0.20759286641890115,0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.0
7,75,20.92202186084168,50,7,13.96,0.1954010424915591,29.24932234855802,1,1,2,45,0,0.875,4.143600387910157,0.2353794794876814,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,6.25
8,75,27.62844281670845,22,5,7.22,0.1359596102001048,21.724371777011857,1,1,3,0,0,1.3333333333333333,3.8913700104959292,0.13993452922929137,0.29333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2.4444444444444446
8,60,26.160146601037763,50,8,7.54,0.1740628188515803,21.260887670577517,1,1,3,15,0,0.8888888888888888,2.1442049935755145,0.21186373160462643,0.8333333333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,5.555555555555555
6,30,23.33905071376425,11,3,14.08,0.1718685672000917,15.02187800564446,1,1,3,30,0,1.5,4.643232321183057,0.6122195690284791,0.36666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1.5714285714285714
10,75,32.38915822865458,11,1,7.38,0.3184649045835579,24.910223633766883,1,1,3,45,0,5.0,13.116196153287175,0.14553878848717947,0.14666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1.0
17,60,50.8215936609692,50,3,5.41,0.2772678829564726,18.50601382641991,1,1,4,0,0,4.25,4.182592551999271,0.18334605242200627,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2.7777777777777777
14,60,45.55747662190089,22,1,11.91,0.2160206038901612,18.85462846746717,1,1,4,15,0,7.0,7.243664290049915,0.36460470177223947,0.36666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.4666666666666666
8,30,20.453581036885684,22,3,13.17,0.2665602434798387,26.496186704243645,1,1,4,30,0,2.0,6.549920230170895,0.5921633097627209,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2.4444444444444446
12,40,59.81268498789622,11,8,12.26,0.3691330779857732,28.85505573490439,1,1,4,45,0,1.3333333333333333,2.776021276917024,0.8309110845674211,0.275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.8461538461538461
13,60,56.781749711047375,50,5,6.01,0.2990505307324168,10.23455687079478,1,1,5,0,0,2.1666666666666665,2.530656838722099,0.23176937057137437,0.8333333333333334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.5714285714285716
14,40,34.28068767931133,22,6,7.37,0.1976199094477803,32.70849847813096,1,1,5,15,0,2.0,4.32051206099296,0.30576258526300115,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1.4666666666666666
14,30,25.40303959261946,50,4,7.44,0.3919031664257337,18.23502460030211,1,1,5,30,0,2.8,3.8608094707269016,0.33245322416040857,1.6666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3.3333333333333335
6,60,31.719718275521437,7,5,6.95,0.3167356345784516,22.65807750078584,1,1,5,45,0,1.0,4.14172564606288,0.16964390071022062,0.11666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1.0
10,30,59.72752553986705,11,4,14.64,0.355902836640208,31.27758530156925,1,1,6,0,0,2.0,6.6666192761746785,1.2244990299444591,0.36666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0
13,100,19.5455515575173,7,3,14.36,0.3088089390024919,24.83663695006065,1,1,6,15,0,3.25,6.034006312291751,0.17969259771290616,0.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.5
11,40,22.708182453486938,11,6,12.02,0.2078473453659265,27.876233262550294,1,1,6,30,0,1.5714285714285714,4.277187831415051,0.3983403387091058,0.275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9166666666666666
12,40,50.50566973395904,7,5,11.28,0.1582821860536127,10.813106425479011,1,1,6,45,0,2.0,2.5172828759132893,0.5823385010017733,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.5384615384615384
7,60,26.89975784257679,50,0,8.28,0.1465124850183232,91.69945429491328,1,1,7,0,0,7.0,86.88104541180797,0.1911008099026397,0.8333333333333334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6.25
20,40,53.02023091558376,7,3,12.7,0.1647463082490529,85.11863516038217,1,1,7,15,0,5.0,20.972432600548043,0.695093593465676,0.175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.3333333333333333
21,75,16.63727111214849,11,0,7.71,0.2316914262116908,87.5920116041708,1,1,7,30,0,21.0,91.80744779074814,0.1233165005170327,0.14666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0.5
10,100,19.216683716568504,11,7,6.73,0.1469311128013258,80.86054675821674,1,1,7,45,0,1.25,10.41976472207135,0.08330928104495643,0.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.0
18,100,23.996694847297142,50,11,12.3,0.1143148383074946,89.08728805205641,1,1,8,0,0,1.5,7.368909662259637,0.16183506724197483,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6315789473684212
11,60,47.89230552321845,7,4,8.11,0.3938531585864526,64.51958222963577,1,1,8,15,0,2.2,13.553255906148479,0.2627320783904005,0.11666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5833333333333334
7,100,29.92523671986867,11,5,11.84,0.2847553493169742,91.01401398161006,1,1,8,30,0,1.1666666666666667,14.429182989333748,0.16896239738503774,0.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.375
13,40,11.32556552708109,50,6,10.73,0.138550105970173,96.1987754626793,1,1,8,45,0,1.8571428571428572,13.29810481361704,0.30251109194490927,1.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3.5714285714285716
12,30,58.05952819119571,11,2,8.77,0.11168893969307,71.76610363171389,1,1,9,0,0,4.0,23.527854929444988,0.6970196584006135,0.36666666666666664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.8461538461538461
5,30,42.78613176903711,7,7,11.97,0.2886828540339652,75.50131324013678,1,1,9,15,0,0.625,8.965824138108282,0.7116373785399699,0.23333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1.1666666666666667
14,30,37.398594162404365,7,7,9.13,0.2116054257378349,102.76412960741996,1,1,9,30,0,1.75,12.5,0.4861445669812166,0.23333333333333334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0.4666666666666667
13,100,21.92984298951701,22,7,14.03,0.2515757117343571,74.38952941451473,1,1,9,45,0,1.625,8.890619344179663,0.17971015477932367,0.22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1.5714285714285714
13,30,12.674264837368446,7,5,10.73,0.6527348848679198,99.4844552197832,1,1,10,0,0,2.1666666666666665,16.666666666666668,0.4124269013456783,0.23333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5
9,60,40.12204629505595,50,7,12.9,0.4364824412194761,98.60736479605976,1,1,10,15,0,1.125,12.332895218629245,0.35906370658462855,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,5.0
10,100,46.85177783955045,7,2,12.62,0.6472872253265045,63.73089404334134,1,1,10,30,0,3.3333333333333335,22.573222427371146,0.23922714318241328,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.6363636363636364
8,100,21.12882087855153,7,7,5.85,0.7946558314004702,68.9966591832372,1,1,10,45,0,1.0,8.781743903209499,0.07417158035626643,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.7777777777777778
15,30,39.59443694106422,50,2,10.58,0.5696888036987906,59.37795132877047,1,1,11,0,0,5.0,18.438135825941036,0.6558158128834789,1.6666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,3.125
8,60,22.68410869365694,11,4,6.18,0.6596841208464255,40.02498628069639,1,1,11,15,0,1.6,7.512907497608433,0.13504048376204073,0.18333333333333332,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1.2222222222222223
12,75,24.285604314093035,50,0,14.78,0.6224020154570339,52.29014135357786,1,1,11,30,0,12.0,54.06327747080202,0.26027635151996265,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3.8461538461538463
15,100,59.64823980596502,7,1,6.66,0.4867236426345965,31.20797588108737,1,1,11,45,0,7.5,16.63151820634654,0.1650485621438769,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0.4375
17,60,24.04815947961152,50,4,8.36,0.4678719615582262,38.67116559476377,1,1,12,0,0,3.4,7.440536395615306,0.1960262275595028,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2.7777777777777777
6,40,21.469737285247483,50,6,11.85,0.4650467757379565,64.52312243614688,1,1,12,15,0,0.8571428571428571,8.630550084458351,0.5054922781530059,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7.142857142857143
13,40,14.137421001765308,11,4,14.87,0.4601667564414113,59.25790707697634,1,1,12,30,0,2.6,11.663319984690997,0.43295927555081126,0.275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.7857142857142857
8,30,58.49571989073016,22,5,6.34,0.4054687859307989,31.858246632604363,1,1,12,45,0,1.3333333333333333,6.01744267151329,0.5671508828961724,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.4444444444444446
11,100,59.83184185369527,7,9,8.78,0.4964339329318528,58.76288934633892,1,1,13,0,0,1.1,6.171243606127367,0.21858109520532534,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.5833333333333334
13,30,57.70255136293612,7,4,5.47,0.507468992810123,51.931821385469874,1,1,13,15,0,2.6,11.341994793033372,0.43107406997016967,0.23333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.5
0,60,36.008175055599665,50,3,12.85,0.655744542789697,48.66652003514587,1,1,13,30,0,0.0,11.404018339988063,0.3447135092211345,0.8333333333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,50.0
22,75,59.02313625461889,11,9,14.04,0.5393021868093202,52.264142552309984,1,1,13,45,0,2.2,5.212424766071187,0.4817125229232382,0.14666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0.4782608695652174
7,40,53.11818543733726,7,4,12.69,0.4264943911407464,54.72135511460762,1,1,14,0,0,1.4,11.852548490112259,0.6767016229202483,0.175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.875
17,100,27.370670411270712,11,7,6.29,0.451218335583109,35.794926778382866,1,1,14,15,0,2.125,4.90948748040749,0.08805384307108992,0.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0.6111111111111112
11,75,27.28336416619316,22,5,11.02,0.4895396263625282,67.41121684654762,1,1,14,30,0,1.8333333333333333,10.698885079683855,0.20865535773227106,0.29333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1.8333333333333333
15,40,23.92951695159793,7,3,8.56,0.7576869051583703,45.32018909497213,1,1,14,45,0,3.75,12.258176277993922,0.2813180506081922,0.175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4375
3,40,49.97051994545213,7,5,8.77,0.4010380097534586,43.39234155184168,1,1,15,0,0,0.5,6.618221746914301,0.4535830948799098,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1.75
19,30,39.86390411277153,50,1,11.18,0.547565455827909,45.16103671706212,1,1,15,15,0,9.5,22.76784477786532,0.7093685324745684,1.6666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2.5
14,60,36.60567426326578,7,3,6.05,0.6949620824375277,41.73775375988205,1,1,15,30,0,3.5,11.228728743780618,0.16150431458331146,0.11666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.4666666666666667
14,30,52.03549929389656,11,3,10.94,0.6716409276577959,62.60753080827023,1,1,15,45,0,3.5,14.928954605549212,0.7996748287896904,0.36666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.7333333333333333
5,40,37.88711329752187,50,1,8.63,0.6583668965326406,40.221060220650855,1,1,16,0,0,2.5,19.756638586980866,0.347543532196564,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,8.333333333333334
9,60,59.32576243964898,7,1,13.51,0.4351550498160575,48.69294289167357,1,1,16,15,0,4.5,22.81714701213107,0.5618731480980351,0.11666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0.7
10,60,53.275356294699016,11,4,13.21,0.6873829083346215,56.037250219102376,1,1,16,30,0,2.0,11.137376579730654,0.47120031145724595,0.18333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1.0
12,40,23.998954683014208,50,6,10.3,0.6828920382577779,60.76521052538303,1,1,16,45,0,1.7142857142857142,8.298202215850663,0.3870720806021199,1.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,3.8461538461538463
10,75,26.032109607975716,22,4,5.63,0.3969880697169836,67.60012552730619,1,1,17,0,0,2.0,13.875317415511793,0.10450994746191204,0.29333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,2.0
7,40,14.39340556213284,22,7,9.72,0.2235522742441806,89.31423228974371,1,1,17,15,0,0.875,11.35319370303922,0.2838566369748165,0.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.75
10,75,28.961429248190026,7,6,6.4,0.3385801935579671,96.68942427080832,1,1,17,30,0,1.4285714285714286,14.23902158147584,0.1201225368560208,0.09333333333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0.6363636363636364
17,60,18.213289896549647,7,1,8.16,0.276492002738517,99.14446585267196,1,1,17,45,0,8.5,48.65732260925032,0.1662861849168115,0.11666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.3888888888888889
18,60,41.20507720909188,7,5,14.0,0.2151673664119634,74.72403641701258,1,1,18,0,0,3.0,12.381417967645449,0.3994912855490825,0.11666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.3684210526315789
18,60,37.14246553067045,11,6,6.39,0.3382075567810888,80.59695214556858,1,1,18,15,0,2.5714285714285716,11.342317798040492,0.1694307625953181,0.18333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.5789473684210527
14,75,59.88463079619216,7,1,5.34,0.270966905461395,93.382438560314,1,1,18,30,0,7.0,45.37892585145354,0.17748808352795,0.09333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0.4666666666666667
5,60,47.73176459300583,11,3,7.29,0.3166757705179199,71.1970624594117,1,1,18,45,0,1.25,17.24917427348774,0.23245475775855584,0.18333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.8333333333333333
16,75,45.80895373664761,22,1,10.83,0.2202554250290919,96.95808048978644,1,1,19,0,0,8.0,48.66901122667256,0.2664646836642697,0.29333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.2941176470588236
7,60,17.66757015580401,7,2,6.02,0.375625156678224,88.61936258159372,1,1,19,15,0,2.3333333333333335,28.572838736784288,0.12186368545566048,0.11666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.875
6,30,31.2065335651193,7,3,13.37,0.1996439237964817,68.56727782022125,1,1,19,30,0,1.5,17.613208794941208,0.6478328390219017,0.23333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.0
7,60,39.56377178724647,7,2,12.88,0.2811164595190417,66.36586533558238,1,1,19,45,0,2.3333333333333335,23.407730778341833,0.35519534063405817,0.11666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.875
15,40,33.28500611594066,22,3,9.52,0.1422571061139399,68.7480627826615,1,1,20,0,0,3.75,17.99604822939982,0.36290874393673384,0.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.375
18,75,30.9462724752274,50,2,7.2,0.1638042353023679,73.25522372924485,1,1,20,15,0,6.0,24.367828968392242,0.13902218379965164,0.6666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.6315789473684212
9,75,30.731206186351187,50,0,8.1,0.2191954346372794,71.25172552402658,1,1,20,30,0,9.0,71.98383647065909,0.15591436497443317,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.0
10,60,27.46934995246665,11,1,12.76,0.2359866504244083,63.8722482704099,1,1,20,45,0,5.0,31.81417278856705,0.29320937634957694,0.18333333333333332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1.0
0,60,17.762012296535623,7,3,7.72,0.3692291229456653,93.39563349649096,1,1,21,0,0,0.0,23.28246220747451,0.15878537935237463,0.11666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7.0
